"","X","slug","season","team_slug","position","game_uid","game_date","toi","goals","assists","points","iXG","iXA","iXP","XPGF","XPGA","XPGPercentage","LPRs","contestedLPRs","PDPs","scoringChanceGeneratingPlays","defensivePlays","possessionTime","controlledEntries","controlledExits","date","possMin","c7session","c7O.I.L","c7H.S.L","c7M.S.L","c7L.S.L","c7TRIMP","a7TRIMP.PL","a7A.F.lb.R","a7A.HF.S.R","c7PL","c7SL","c7estTRIMP","a7TRIMP.OIL","a7estTRIMP.OIL","pct7DestTRIMPGames","pct7DOILGames","a7HSL.OIL","pct7DHSLGames","WorkPercent","line","role","HAW","backToBack","HSL.TOI","OIL.TOI","a7HSL.TOI","a7OIL.TOI","pos.TOI","a7ngHSL.OIL","a7ngTRIMP.PL","a7ngTRIMP"
"1",0,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120007","Thu, 14 Jan 2021 00:00:00 GMT",13.4011138333333,0,0,0,0.186957997929021,0.183889671385361,0.370847669314381,1.04851410430469,0.49559244645972,0.679042585361498,12,2,7,4,3,19.799999999954,1,1,"2021-01-14",0.329999999999233,6,716.56992,1851.57067,3733.72505,4178.12438,792.4,0.8,-10.5488816666667,-2.08046333333333,997.359126984127,9763.4201,792.4,1.13053169600588,1.13053169600588,0,0,2.52357321725852,0,NA,3,"F3","A",0,45.7424664564264,9.87977578928361,NA,NA,2.46248188100908,2.52357321725852,0.8,132.066666666667
"2",1,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120023","Sat, 16 Jan 2021 00:00:00 GMT",10.9366663666667,0,0,0,0.0169414219995351,0,0.0169414219995351,0.0682120008635709,0.286531598211782,0.192285360585412,4,0,12,0,3,19.633333333207,0,3,"2021-01-16",0.327222222220117,6,688.50624,2024.5007,2912.04699,3413.55486,565.8,0.76,-10.0336416666667,-3.678085,763.56746031746,7737.10255,707.181459475472,1.12588580250986,1.08421662286169,13.7518717550261,19.2300363174631,2.7829090490606,30.2790707852064,NA,4,"F4","A",0,44.1633660392266,9.50929620720407,45.7424664564264,9.87977578928361,2.99197407372177,2.46220851379823,0.76,113.16
"3",2,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120036","Mon, 18 Jan 2021 00:00:00 GMT",9.73333333333333,0,0,0,0,0.00311145276785925,0.00311145276785925,0.106051075711468,0.413649025439866,0.204062064787989,10,3,11,1,4,23.666666666793,2,2,"2021-01-18",0.39444444444655,7,801.80208,2681.67843,2888.00965,3343.72841,556.9,0.72,-10.2442016666667,-2.89980333333333,798.900793650793,7817.41649,774.124269400006,1.09457887215923,1.01114612473613,22.3599109534546,29.4835852758077,3.22789702237914,40.8699263766685,NA,4,"F4","A",0,43.972602739726,9.45205479452055,44.9529162478265,9.69453599824384,4.05251141554675,2.6711408626415,0.72,111.38
"4",3,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120060","Thu, 21 Jan 2021 00:00:00 GMT",10.3988888333333,0,0,0,0.0800885756450351,0.00394669555890987,0.084035271203945,0.707228326318687,0.568775107408795,0.554252682731989,9,2,14,1,4,25.36666666674,2,4,"2021-01-21",0.422777777779,6,712.29432,2746.93223,1843.86613,2142.83991,323.5,0.633333333333333,-11.1395925,-4.86391,516.95238095238,5209.63827,607.53002133693,0.953107070912192,0.865099867111428,39.487636959228,46.1045372367984,3.86989614310151,55.4800727646637,NA,4,"F4","H",0,45.4856290495013,9.80874030242946,44.6261450784597,9.61370893033608,4.06560532144357,2.99969224119014,0.633333333333333,107.833333333333
"5",4,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120075","Sat, 23 Jan 2021 00:00:00 GMT",12.5250015,0,0,0,0.0315114059241773,0,0.0315114059241773,0.211354697938302,0.224186098054084,0.485269577231513,12,4,6,1,4,18.73333333343,2,2,"2021-01-23",0.312222222223833,6,721.05752,2838.42293,1866.21455,2126.67096,321.3,0.633333333333333,-15.829225,-6.609435,513.285714285714,5447.30844,589.369766960893,0.866081336220813,0.818085200265701,36.8335933387582,41.328186966277,3.98986742968278,48.7594708093765,NA,3,"F3","H",0,43.9920106995596,9.50099686614808,44.5405326094847,9.59003043471803,2.49279189486591,3.29649353794359,0.633333333333333,107.1
"6",5,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120093","Tue, 26 Jan 2021 00:00:00 GMT",14.602781,0,0,0,0.075477716161228,0.398787023883292,0.47426474004452,0.561199304185676,0.230548155710702,0.708810994176255,10,2,15,3,5,23.33333333359,1,5,"2021-01-26",0.388888888893167,5,772.79236,2758.60534,2356.53317,3041.80572,358.1,0.633333333333333,-16.722584,-9.521918,574.619047619048,7132.94423,641.622899268513,0.84043178481631,0.844065698430268,25.1966404173189,28.5975912080704,3.5681279591724,37.1202065461093,NA,3,"F3","H",0,43.9642284575794,9.51873482181237,44.7388198745304,9.65486858428877,2.66311525793044,3.0416620256937,0.633333333333333,119.366666666667
"7",6,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120109","Thu, 28 Jan 2021 00:00:00 GMT",15.32721955,0,1,1,0.0340027526090638,0.262910062836575,0.296912815445638,0.424327172147192,0.641325298612655,0.398185321941432,12,0,14,3,6,45.39999999973,2,6,"2021-01-28",0.756666666662167,6,1019.41299,3591.0718,2957.27742,3740.12079,371.8,0.6,-16.7927716666667,-10.90953,619.666666666667,8622.47001,852.354539569712,0.844670711468969,0.851639227168784,30.9776945432341,35.3144411079164,3.49150597989579,46.3928345849281,NA,2,"F2","H",0,44.0653960620013,9.52553720025495,44.4806227355468,9.6094906634633,4.93675101471465,2.81635505561494,0.6,123.933333333333
"8",7,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120127","Sat, 30 Jan 2021 00:00:00 GMT",11.4505543333333,0,0,0,0,0.0402896237173704,0.0402896237173704,0.112202641980451,0.253588883220198,0.306739315294153,15,6,5,1,2,26.3666666669,1,1,"2021-01-30",0.439444444448333,6,970.71671,3568.632,2575.12083,3372.13686,286.79417,0.56264,-20.59801,-11.5704566666667,490.047815215609,7647.48969,791.872740942956,0.810094950479611,0.817959092050341,37.5170006471615,41.618733440779,3.62251602587486,52.3561969964961,1.61854,4,"F4","A",0,44.1259568743442,9.51918979875882,44.0072117397134,9.51508962940513,3.83775694744386,3.12984421965014,0.56264,95.5980566666667
"9",8,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120145","Mon, 01 Feb 2021 00:00:00 GMT",10.426112,0,0,0,0,0,0,0.0850685235203503,0.441957185348071,0.161412473981585,4,1,2,0,2,13.3333333334,0,1,"2021-02-01",0.222222222223333,7,1063.8817,3777.2839167,3165.09377,4035.41059,400.39417,0.517584,-18.9340242857143,-11.3918242857143,735.381148548942,9155.12161,860.657974382553,0.731305765473526,0.735975305517282,35.00890197785,37.0341928054595,3.46063035526815,48.253366887294,NA,4,"F4","A",0,44.0240810764358,9.49539003609399,44.0518604646416,9.52115394027538,2.13140068151324,3.02889967255991,0.517584,80.078834
"10",9,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120159","Wed, 03 Feb 2021 00:00:00 GMT",11.3172248333333,0,0,0,0,0.00316262865963331,0.00316262865963331,0.0940218715226113,0.601071407099432,0.135265113926869,12,2,11,0,4,23.43333333328,1,3,"2021-02-03",0.390555555554667,7,896.64191,3294.7294667,2710.8584,3198.24265,325.29417,0.517584,-18.4696814285714,-8.18367285714286,610.214481882275,7564.16385,699.825901120901,0.713300626406899,0.715786389095636,38.9327465927284,39.4806439507161,3.53870862035179,49.766352086634,NA,4,"F4","A",0,43.9153597564092,9.45461467592713,44.0718113375938,9.51337234503592,3.450983446086,3.16850892795319,0.517584,65.058834
"11",10,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120174","Fri, 05 Feb 2021 00:00:00 GMT",13.5127761666667,0,1,1,0.0113452167111738,0.00425261538667744,0.0155978320978513,0.0901702637030479,0.565603237358243,0.137502146026209,9,2,5,2,3,22.33333333353,2,1,"2021-02-05",0.3722222222255,6,751.98221,2663.2277867,2147.61418,2710.24634,218.29417,0.49698,-15.645035,-7.477095,431.881148548942,6059.82164,599.583148193702,0.680800308671009,0.715630581941585,40.6314639631299,41.8892888436816,3.47144947784892,54.8682570074358,NA,3,"F3","A",0,43.9583985314046,9.49101786473508,44.0217992357297,9.48973150359332,2.75459474525818,2.84760758875456,0.49698,54.5735425
"12",11,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120179","Sat, 27 Mar 2021 00:00:00 GMT",14.3244421666667,0,0,0,0.240333288457104,0,0.240333288457104,0.630922987978335,0.78849731733654,0.444493421445296,11,2,10,2,5,28.233333333399,1,2,"2021-03-27",0.47055555555665,3,396.92851,1401.35171,1189.47956,1497.32927,273.619,0.673115,-14.858815,-2.349445,406.741936132292,3445.76054,375.550596131263,1.05949411258792,0.951298396931391,27.1419076900189,34.943320145988,3.50367133462213,45.8414540344051,NA,3,"F3","H",0,44.0273107575229,9.50589664265342,44.1917047249342,9.54139079288352,3.28498345751741,2.93971752824899,0.673115,136.8095
"13",12,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120212","Wed, 10 Feb 2021 00:00:00 GMT",14.1372176666667,1,0,1,0.344860036413293,0.079020933836802,0.423880970250095,1.03474961568458,2.17284213843649,0.322593925600148,10,1,4,2,3,23.56666666663,1,0,"2021-02-10",0.392777777777167,4,682.64243,2385.31743,2161.51745,2628.70295,234.5,0.65,-13.622595,-5.77383,361.214285714286,6084.53783,552.831888485541,0.772620542830011,0.8250277783549,31.1477444550387,34.4616727090931,3.47722298771183,45.7381473123265,NA,3,"F3","A",0,44.6622535556441,9.61999759830156,43.9368791439069,9.4728162703311,2.77832446976659,2.70732282319485,0.65,117.25
"14",13,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120228","Fri, 12 Feb 2021 00:00:00 GMT",10.7350005333333,0,0,0,0,0,0,0.0311209119062064,0.239334043649816,0.115068743489006,14,2,19,0,6,33.53333333321,1,4,"2021-02-12",0.558888888886833,5,789.48714,2802.90802,2489.8207,2922.25746,320.4,0.6,-14.031236,-5.853444,533.014285714286,6989.58618,633.984065982429,0.802938769061218,0.825734519035151,30.5772158114392,33.4710961853033,3.47963724886225,43.7188802221202,NA,4,"F4","A",0,43.7882294686799,9.4084764771445,44.3103260435243,9.55550773151832,5.20623065785069,2.87333839343309,0.6,106.8
"15",14,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120230","Sat, 13 Feb 2021 00:00:00 GMT",8.69833116666667,0,0,0,0.105236618890127,0,0.105236618890127,0.457914026336358,0.36534181605161,0.556223233118048,7,2,7,2,1,20.39999999986,1,1,"2021-02-13",0.339999999997667,5,695.39739,2528.6229267,2188.20851,2533.62474,320.4,0.6,-14.376325,-6.0554275,533.014285714286,6148.98951,545.839356052111,0.802938769061218,0.796861012638176,31.7339743560034,34.0812323152378,3.64737584431968,43.559941463375,NA,4,"F4","A",1,41.816450343243,9.08220191739078,44.225241512162,9.51423703772303,3.90879576188819,3.02931391654048,0.6,106.8
"16",15,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120244","Sun, 07 Mar 2021 00:00:00 GMT",10.0655573333333,0,0,0,0.132313023367103,0,0.132313023367103,0.160388279484229,1.17049948479142,0.120512250386134,13,0,15,0,7,27.73333333339,2,6,"2021-03-07",0.462222222223167,6,719.13864,2482.50481,2264.16434,2802.48706,437.4,0.52,-15.602464,-4.485844,829.233333333334,6559.15621,742.427793473673,0.8615238750139,0.825729562118437,26.367081674372,29.757822497203,3.31018379103966,39.8790768103285,NA,4,"F4","H",0,43.8591378579734,9.46958658258768,44.1382420279842,9.53683252532917,4.592117524307,2.91028158180379,0.52,87.48
"17",16,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120265","Thu, 18 Feb 2021 00:00:00 GMT",11.0850025,0,0,0,0.131171840958032,0.326680717240274,0.457852558198306,0.577200150751087,0.225699916680884,0.71889413659813,7,2,15,5,1,34.46666666677,4,4,"2021-02-18",0.574444444446167,6,671.5122,2315.30567,2263.64117,2692.38422,338.7,0.475,-14.422785,-8.89522,714.466666666667,6437.53106,469.76717766058,0.70749692088213,0.71440851778373,27.9004545003099,26.8051719685808,3.5699251465819,36.0125235645451,NA,4,"F4","H",0,43.9933745346472,9.47225767427657,42.8023399059615,9.24533919726764,5.18217694985785,3.04030151443984,0.475,84.675
"18",17,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120290","Sun, 21 Feb 2021 00:00:00 GMT",14.2361093333333,0,0,0,0.303150731776108,0,0.303150731776108,1.18972488780053,0.634750770056383,0.652091400988062,11,2,11,2,5,20.40000000034,1,4,"2021-02-21",0.340000000005667,5,696.76567,2176.5193767,2682.2337,3444.55926,378.8,0.525,-16.33358,-12.58604,722.666666666667,7815.64567,516.173285163605,0.731864025119873,0.747020645129171,14.8372287970957,15.06962878926,3.081341617698,22.405804052128,NA,3,"F3","H",0,43.939907923813,9.48292801347786,43.9933745346472,9.47225767427657,2.38829298121201,2.91629610535809,0.525,94.7
"19",18,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120312","Thu, 25 Feb 2021 00:00:00 GMT",12.5094466666667,0,0,0,0,0.00732425765811853,0.00732425765811853,0.274574439788041,0.461816694535843,0.372864944986255,5,0,6,0,3,12.833333333184,1,1,"2021-02-25",0.2138888888864,5,622.70891,2106.14135,1830.24392,2263.42124,342.5,0.666666666666667,-15.3337225,-8.149895,511.119047619047,5086.60651,579.007359631441,1.17332972256678,1.01239255408125,30.3484718897005,38.541282474985,3.21258334211352,52.854952019246,NA,3,"F3","A",0,44.1426399355792,9.51281085174562,43.9666412292301,9.47759284387722,1.70981894392131,2.65102722555034,0.666666666666667,114.166666666667
