Game,Rank
Just Chatting,1
Grand Theft Auto V,2
League of Legends,3
VALORANT,4
Call of Duty: Warzone,5
Minecraft,6
Fortnite,7
Counter-Strike: Global Offensive,8
Apex Legends,9
Resident Evil Village,10
Dota 2,11
FIFA 21,12
World of Warcraft,13
Slots,14
Dead by Daylight,15
Tom Clancy's Rainbow Six Siege,16
Music,17
Sports,18
Rocket League,19
Hearthstone,20
Teamfight Tactics,21
Chess,22
Among Us,23
Escape from Tarkov,24
Rust,25
Overwatch,26
Call Of Duty: Modern Warfare,27
Genshin Impact,28
Destiny 2,29
PLAYERUNKNOWN'S BATTLEGROUNDS,30
Subnautica: Below Zero,31
Path of Exile,32
Garena Free Fire,33
Art,34
Special Events,35
DayZ,36
Call of Duty: Black Ops Cold War,37
ASMR,38
Talk Shows & Podcasts,39
NBA 2K21,40
The Binding of Isaac: Repentance,41
Biomutant,42
Knockout City,43
Mass Effect Legendary Edition,44
Returnal,45
SMITE,46
Poker,47
LOST ARK,48
Ark: Survival Evolved,49
World of Tanks,50
Sea of Thieves,51
Magic: The Gathering,52
Final Fantasy XIV Online,53
New Pok<U+00E9>mon Snap,54
Old School RuneScape,55
Retro,56
Phasmophobia,57
"Pools, Hot Tubs, and Beaches",58
Clash Royale,59
Dungeons & Dragons,60
Days Gone,61
Fall Guys: Ultimate Knockout,62
Games + Demos,63
Black Desert Online,64
StarCraft II,65
Age of Empires II,66
Roblox,67
Hood: Outlaws & Legends,68
World of Warships,69
It Takes Two,70
Resident Evil 7 biohazard,71
Pok<U+00E9>mon Sword/Shield,72
Gartic Phone,73
Monster Hunter Rise,74
GeoGuessr,75
Tibia,76
Travel & Outdoors,77
Super Smash Bros. Ultimate,78
Science & Technology,79
Food & Drink,80
MLB The Show 21,81
Street Fighter V,82
League of Legends: Wild Rift,83
VRChat,84
Dread Hunger,85
Heroes of Might and Magic III: The Restoration of Erathia,86
Tabletop RPGs,87
Brawlhalla,88
Dark Souls III,89
Crypto,90
osu!,91
Hunt: Showdown,92
Red Dead Redemption 2,93
TrackMania,94
Motorsport Manager,95
Warcraft III,96
Animal Crossing: New Horizons,97
F1 2020,98
Heroes of the Storm,99
The Sims 4,100
Legends of Runeterra,101
Mario Kart 8,102
7 Days to Die,103
Eternal Return: Black Survival,104
Guilty Gear: Strive,105
Conan Exiles,106
Super Mario Party,107
StarCraft,108
Dark Souls,109
Euro Truck Simulator 2,110
Marbles On Stream,111
Valheim,112
Subnautica,113
Stardew Valley,114
PUBG Mobile,115
MapleStory,116
Pok<U+00E9>mon Trading Card Game,117
Super Smash Bros. Melee,118
Brawl Stars,119
The Elder Scrolls Online,120
Enlisted,121
Call of Duty: Mobile,122
NieR Replicant ver.1.22474487139...,123
Star Citizen,124
iRacing,125
Miitopia,126
Super Mario Maker 2,127
Terraria,128
Scavengers,129
Warframe,130
DEVOUR,131
Life is Strange,132
Project Zomboid,133
Watch Parties,134
Slay the Spire,135
Swords of Legends Online,136
RuneScape,137
First Class Trouble,138
I'm Only Sleeping,139
Tekken 7,140
Diablo III,141
Assetto Corsa Competizione,142
The Legend of Zelda: Breath of the Wild,143
Gears 5,144
Conqueror's Blade,145
Bloodborne,146
Dofus,147
Chivalry 2,148
Madden NFL 21,149
Football Manager 2021,150
Battlefield V,151
SnowRunner,152
Raid: Shadow Legends,153
Gwent: The Witcher Card Game,154
Don't Starve Together,155
Makers & Crafting,156
Epic Seven,157
Assassin's Creed Valhalla,158
Super Mario Odyssey,159
Elite: Dangerous,160
Pummel Party,161
Worms W.M.D,162
Arma 3,163
RimWorld,164
Summoners War: Sky Arena,165
Knight Online,166
Divinity: Original Sin II,167
Stream Raiders,168
Trials Rising,169
Mortal Kombat 11,170
Halo: The Master Chief Collection,171
Mario Kart 8 Deluxe,172
Night in the Woods,173
Super Mario 64,174
Virtual Casino,175
The Forest,176
Farming Simulator 19,177
Hollow Knight,178
Dark Souls II,179
Guild Wars 2,180
Pok<U+00E9>mon GO,181
Albion Online,182
Resident Evil 4,183
Yu-Gi-Oh! Duel Links,184
The Last of Us Part II,185
Microsoft Flight Simulator,186
FIFA Online 4,187
Rogue Company,188
Paladins,189
Sekiro: Shadows Die Twice,190
Dying Light 2: Stay Human,191
Super Mario World,192
Lineage 2,193
Jackbox Party Packs,194
Forza Horizon 4,195
PowerWash Simulator,196
Jump King,197
The Elder Scrolls V: Skyrim,198
Detroit: Become Human,199
Outriders,200
