"id","ship_mode","segment","country","city","state","postal_code","region","category","sub_category","sales","quantity","discount","profit"
8522,"Second Class","Consumer","United States","Everett","Massachusetts",2149,"East","Office Supplies","Art",16.28,2,0,6.512
7864,"Standard Class","Corporate","United States","Los Angeles","California",90036,"West","Furniture","Chairs",1684.752,6,0.2,210.594
3522,"Standard Class","Consumer","United States","New York City","New York",10035,"East","Office Supplies","Storage",242.94,3,0,9.7176
8694,"Standard Class","Consumer","United States","Los Angeles","California",90045,"West","Office Supplies","Art",37.17,9,0,10.4076
2306,"Second Class","Home Office","United States","San Francisco","California",94110,"West","Furniture","Bookcases",1198.33,10,0.15,70.49
8742,"Standard Class","Corporate","United States","Arlington","Texas",76017,"Central","Furniture","Furnishings",12.544,7,0.6,-9.0944
2292,"Standard Class","Consumer","United States","Yonkers","New York",10701,"East","Technology","Phones",543.92,8,0,135.98
713,"Standard Class","Corporate","United States","Springfield","Virginia",22153,"South","Office Supplies","Binders",232.96,7,0,116.48
5904,"First Class","Consumer","United States","Des Plaines","Illinois",60016,"Central","Furniture","Furnishings",8.544,2,0.6,-7.476
6023,"Second Class","Consumer","United States","Providence","Rhode Island",2908,"East","Office Supplies","Binders",29.7,5,0,13.365
7861,"First Class","Corporate","United States","Houston","Texas",77041,"Central","Office Supplies","Envelopes",74.352,3,0.2,26.9526
8161,"Standard Class","Consumer","United States","Springfield","Missouri",65807,"Central","Furniture","Tables",1024.38,7,0,215.1198
9478,"Second Class","Consumer","United States","Fargo","North Dakota",58103,"Central","Office Supplies","Art",25.92,4,0,8.2944
3614,"First Class","Corporate","United States","Greensboro","North Carolina",27405,"South","Technology","Phones",1359.96,5,0.2,118.9965
2880,"Standard Class","Consumer","United States","Atlanta","Georgia",30318,"South","Technology","Accessories",251.91,9,0,47.8629
4774,"First Class","Home Office","United States","Houston","Texas",77036,"Central","Technology","Phones",196.776,3,0.2,14.7582
120,"Second Class","Consumer","United States","San Francisco","California",94110,"West","Office Supplies","Paper",62.65,7,0,28.819
8395,"Standard Class","Consumer","United States","San Francisco","California",94122,"West","Office Supplies","Paper",25.92,4,0,12.4416
3291,"Standard Class","Corporate","United States","Los Angeles","California",90049,"West","Office Supplies","Paper",55.48,1,0,26.6304
8976,"Second Class","Consumer","United States","New York City","New York",10024,"East","Office Supplies","Binders",164.688,6,0.2,55.5822
835,"Standard Class","Consumer","United States","Jackson","Mississippi",39212,"South","Furniture","Furnishings",133.38,6,0,58.6872
3462,"Standard Class","Consumer","United States","Pasadena","California",91104,"West","Furniture","Furnishings",383.64,6,0,122.7648
