"id","date","location","min_temp","max_temp","rainfall","evaporation","sunshine","wind_gust_dir","wind_gust_speed","wind_dir9am","wind_dir3pm","wind_speed9am","wind_speed3pm","humidity9am","humidity3pm","pressure9am","pressure3pm","cloud9am","cloud3pm","temp9am","temp3pm","rain_today","rain_tomorrow"
6364,2010-11-11,"BadgerysCreek",16.2,28.9,11.4,NA,NA,"SW",37,"N","NNE",7,15,78,52,1017.2,1011.7,NA,NA,20.3,27.9,1,0
7985,2011-03-09,"Sale",14.6,28.3,0,NA,NA,"SSE",35,"WNW","SSE",11,30,81,65,1012.9,1010.4,7,7,19,24.4,0,1
5021,2014-06-06,"Nhil",2.6,16.3,0,NA,NA,"S",31,"S","SSW",7,20,93,61,1033.1,1031,NA,NA,5.9,14.6,0,0
28546,2017-06-07,"Townsville",14,25.9,0,NA,NA,"WNW",35,"SSW","NE",7,24,66,37,1020.4,1016.9,NA,NA,20.9,24.7,0,0
42222,2016-12-13,"Uluru",16.7,41.7,0,NA,NA,"SW",61,"NNE","WSW",26,15,17,7,1006.1,1002.6,NA,NA,33.2,41.1,0,0
47361,2013-05-23,"Nuriootpa",8.5,16.3,6.2,NA,NA,"ESE",35,"SE","SSW",17,13,72,53,1021.8,1021.1,5,3,12.2,16.2,1,0
34058,2013-12-09,"BadgerysCreek",16.2,31.7,0,NA,NA,"NNW",33,NA,"SW",0,6,57,46,1009.4,1003.1,NA,NA,23.6,29.9,0,0
19101,2016-01-15,"Albany",17.1,25.4,0,NA,NA,NA,NA,"ENE",NA,15,NA,49,NA,1023.5,1019.5,1,NA,22.8,NA,0,0
10983,2010-12-02,"Watsonia",15.4,26.1,3.4,NA,NA,NA,NA,"NE","NNE",6,13,100,100,1015.5,1014,7,7,17.7,16.5,1,1
9200,2009-10-19,"Perth",16.4,21.2,0,NA,NA,"SW",33,"S","SW",11,19,64,46,1020,1019.2,7,4,18,20.4,0,0
38970,2009-01-03,"Tuggeranong",9.9,26,0,NA,NA,"ENE",35,"ENE","NNE",13,13,60,35,1019,1014.8,NA,NA,14,23.1,0,0
1989,2012-04-20,"NorfolkIsland",17.9,23.2,1,NA,NA,"E",59,"E","E",31,43,64,64,1026,1023.9,7,7,20.8,21.3,0,1
29049,2009-06-26,"GoldCoast",13.8,19.3,0,NA,NA,"NW",30,"NW","NW",17,13,75,73,1013.4,1009.8,NA,NA,17.3,17.4,0,1
20435,2013-09-28,"WaggaWagga",4.8,18.6,0,NA,NA,"W",54,"WSW","WSW",33,33,48,43,1014.3,1012.5,3,2,13.3,17.9,0,0
12106,2010-06-18,"Wollongong",11,17.7,0,NA,NA,"W",39,"SW","W",17,15,52,36,1016,1015.4,NA,NA,13.1,17.1,0,0
20140,2012-01-01,"Richmond",12.4,30.5,0.8,NA,NA,"NE",28,NA,"E",0,6,76,39,1018.1,1014.3,NA,NA,18.7,29.6,0,0
49118,2017-06-11,"AliceSprings",-2.9,17.3,0,NA,NA,"ESE",37,NA,"ESE",0,22,56,29,1028.8,1025.8,NA,NA,6.1,16.7,0,0
22742,2014-05-06,"MountGambier",6.2,13.4,0.8,NA,NA,"SSE",30,"SSE","SSE",11,15,66,68,1028.1,1027.2,7,8,11.5,12.9,0,0
43221,2013-11-01,"Nuriootpa",5.7,29.7,0,NA,NA,"WSW",48,"N","W",9,28,40,9,1021.2,1018,2,2,19,29.3,0,0
