iter	Logloss
0	0.6914558855
1	0.6897110463
2	0.6880572835
3	0.6864399571
4	0.6847202144
5	0.6831974835
6	0.6817338885
7	0.6799830533
8	0.6783905758
9	0.6768476591
10	0.6753123678
11	0.6737111586
12	0.6722621059
13	0.6705900387
14	0.6691753568
15	0.667605034
16	0.6659536953
17	0.6642557946
18	0.6627448753
19	0.6612214942
20	0.6596972275
21	0.658157559
22	0.6567954947
23	0.6552948865
24	0.6537594665
25	0.6521962111
26	0.6505519009
27	0.6489974175
28	0.6475117796
29	0.6459995353
30	0.6444238064
31	0.6429513113
32	0.6415483064
33	0.6402249275
34	0.6387296183
35	0.6372062817
36	0.6356732127
37	0.6342373359
38	0.6327847612
39	0.6311853577
40	0.629759924
41	0.6284030794
42	0.627007246
43	0.6255345203
44	0.624066415
45	0.6226752876
46	0.6212652242
47	0.619874373
48	0.6183079753
49	0.6169719142
50	0.6155984954
51	0.6141652221
52	0.6127104331
53	0.6112719651
54	0.6098232046
55	0.6084052408
56	0.6069813328
57	0.6055550738
58	0.6042131696
59	0.6028591834
60	0.6014652966
61	0.600239372
62	0.5988581008
63	0.5974358786
64	0.5960904609
65	0.594746827
66	0.5933811644
67	0.591932159
68	0.5903537108
69	0.5890735362
70	0.5876935432
71	0.5864504906
72	0.5850112445
73	0.5838226715
74	0.5825945564
75	0.5811755535
76	0.5797264517
77	0.5784492186
78	0.5770620934
79	0.5759062839
80	0.5745555712
81	0.5731609995
82	0.5720027014
83	0.5707780608
84	0.5694947419
85	0.5682460877
86	0.5669383637
87	0.5656287211
88	0.5644894233
89	0.5632315678
90	0.5620266846
91	0.5607357481
92	0.5595535735
93	0.5582592236
94	0.556985235
95	0.5555920456
96	0.5543134945
97	0.5531002378
98	0.5518409148
99	0.5505051865
100	0.5491630276
101	0.547945635
102	0.5468148052
103	0.5455538619
104	0.5442227712
105	0.5429398637
106	0.5418113177
107	0.5407343154
108	0.5395793842
109	0.5384510322
110	0.5372081584
111	0.5359823079
112	0.5350382825
113	0.5338544099
114	0.5325370501
115	0.5313795639
116	0.5303521352
117	0.5291809512
118	0.5280410301
119	0.5270115515
120	0.5258300408
121	0.5246834754
122	0.523383713
123	0.5222991897
124	0.5210331404
125	0.5199580748
126	0.5187798534
127	0.5177075811
128	0.5166007253
129	0.5154316552
130	0.5142249451
131	0.5131294441
132	0.5120472623
133	0.5109292137
134	0.5098777663
135	0.508766112
136	0.5078257991
137	0.5068569706
138	0.5057104284
139	0.5046279769
140	0.503618084
141	0.5023506119
142	0.5013034425
143	0.5002456336
144	0.4991166988
145	0.4979893375
146	0.4968769697
147	0.495906155
148	0.4949825718
149	0.494011536
150	0.4929624245
151	0.4919356325
152	0.4909272336
153	0.4898455391
154	0.4888245409
155	0.4878713808
156	0.4869613696
157	0.4859120249
158	0.4848594468
159	0.4838166044
160	0.4828836212
161	0.4819356156
162	0.4810039396
163	0.4800519544
164	0.4790800335
165	0.4780345887
166	0.4770250327
167	0.4759957113
168	0.474975474
169	0.4741154467
170	0.4731225807
171	0.472099775
172	0.4712425486
173	0.4702839434
174	0.4691864017
175	0.4681773763
176	0.4672646012
177	0.4663097767
178	0.4653769118
179	0.4643828
180	0.4634289531
181	0.4624440409
182	0.4614741495
183	0.4605400039
184	0.4597752607
185	0.4587743714
186	0.4578417793
187	0.4569542867
188	0.4560371305
189	0.4551426307
190	0.4543006221
191	0.4533731393
192	0.4524417252
193	0.4515130532
194	0.4505956595
195	0.4496654645
196	0.4488500495
197	0.4479435383
198	0.4469769183
199	0.446020877
200	0.4450253601
201	0.4441290353
202	0.4431855703
203	0.4423801119
204	0.4415279134
205	0.440673772
206	0.4396679126
207	0.4387509961
208	0.4379206234
209	0.4369831309
210	0.4360318017
211	0.4352174538
212	0.434389785
213	0.4336288007
214	0.4327632496
215	0.4318062361
216	0.430930292
217	0.4300852045
218	0.4293400718
219	0.4285683915
220	0.4278277444
221	0.4268804246
222	0.4260212435
223	0.4252571075
224	0.4244231489
225	0.4236530348
226	0.4228179229
227	0.422085728
228	0.4213442638
229	0.4205787747
230	0.419798832
231	0.4189978067
232	0.4182420851
233	0.4173646867
234	0.4165286751
235	0.4156068376
236	0.4148630036
237	0.4140593724
238	0.413352939
239	0.41252098
240	0.4118056426
241	0.4109252195
242	0.4101330787
243	0.409386423
244	0.4085225357
245	0.4076882857
246	0.4067932127
247	0.4060025928
248	0.4053055069
249	0.4044582975
250	0.4037924483
251	0.4029501584
252	0.4021454643
253	0.4012419548
254	0.4005065432
255	0.3997998091
256	0.3990219808
257	0.398263882
258	0.3975197017
259	0.3967128981
260	0.3959527415
261	0.395237174
262	0.394440378
263	0.3937851335
264	0.3930095554
265	0.3922138966
266	0.3914016025
267	0.3906900781
268	0.3899888655
269	0.3892335997
270	0.3885441094
271	0.387689519
272	0.3869775611
273	0.38625113
274	0.3854959967
275	0.3848074725
276	0.3839573698
277	0.383289893
278	0.3826037377
279	0.3818396112
