iter	Passed	Remaining
0	27	29774
1	49	27142
2	72	26558
3	87	23953
4	106	23317
5	115	21050
6	134	20947
7	164	22395
8	182	22133
9	197	21516
10	214	21238
11	232	21071
12	237	19863
13	255	19805
14	276	19962
15	305	20708
16	323	20583
17	332	19974
18	353	20094
19	377	20386
20	393	20198
21	415	20318
22	428	20060
23	452	20251
24	472	20312
25	498	20574
26	510	20266
27	530	20302
28	551	20336
29	560	19970
30	592	20412
31	618	20628
32	638	20629
33	663	20795
34	688	20934
35	708	20913
36	729	20935
37	744	20800
38	767	20857
39	789	20896
40	810	20923
41	827	20813
42	843	20723
43	858	20590
44	880	20621
45	892	20420
46	905	20271
47	920	20155
48	936	20062
49	954	20035
50	971	19955
51	988	19904
52	1000	19753
53	1016	19675
54	1034	19642
55	1052	19595
56	1063	19449
57	1081	19416
58	1105	19483
59	1127	19519
60	1148	19546
61	1164	19475
62	1184	19481
63	1197	19359
64	1212	19287
65	1235	19339
66	1251	19276
67	1268	19230
68	1283	19162
69	1303	19163
70	1321	19135
71	1339	19100
72	1359	19108
73	1377	19081
74	1397	19081
75	1410	18985
76	1427	18941
77	1443	18896
78	1462	18885
79	1479	18842
80	1497	18822
81	1511	18740
82	1527	18693
83	1539	18607
84	1554	18540
85	1573	18528
86	1586	18454
87	1598	18361
88	1611	18291
89	1624	18212
90	1642	18189
91	1653	18094
92	1665	18013
93	1677	17932
94	1691	17878
95	1705	17818
96	1718	17752
97	1733	17703
98	1746	17643
99	1762	17602
100	1774	17532
101	1789	17489
102	1802	17430
103	1815	17373
104	1827	17303
105	1834	17183
106	1846	17122
107	1860	17073
108	1876	17047
109	1893	17025
110	1907	16982
111	1921	16929
112	1936	16894
113	1951	16865
114	1967	16831
115	1984	16818
116	2001	16796
117	2016	16760
118	2030	16724
119	2046	16693
120	2060	16656
121	2077	16639
122	2093	16612
123	2113	16614
124	2126	16571
125	2141	16535
126	2155	16495
127	2169	16461
128	2183	16416
129	2197	16381
130	2211	16338
131	2225	16304
132	2242	16285
133	2258	16266
134	2271	16219
135	2283	16167
136	2299	16147
137	2308	16078
138	2325	16061
139	2338	16018
140	2350	15967
141	2365	15941
142	2375	15880
143	2389	15850
144	2406	15835
145	2419	15791
146	2431	15745
147	2441	15690
148	2454	15648
149	2467	15609
150	2478	15562
151	2495	15546
152	2511	15527
153	2523	15484
154	2537	15455
155	2548	15408
156	2563	15379
157	2578	15354
158	2591	15321
159	2608	15307
160	2617	15249
161	2629	15209
162	2640	15164
163	2652	15123
164	2667	15102
165	2681	15073
166	2694	15037
167	2706	15000
168	2717	14954
169	2730	14923
170	2742	14884
171	2758	14866
172	2771	14835
173	2785	14806
174	2792	14744
175	2804	14706
176	2818	14679
177	2832	14653
178	2847	14635
179	2863	14617
180	2871	14565
181	2875	14488
182	2885	14442
183	2895	14401
184	2908	14369
185	2919	14332
186	2931	14296
187	2945	14274
188	2958	14245
189	2968	14204
190	2984	14189
191	2999	14168
192	3013	14145
193	3025	14115
194	3038	14086
195	3048	14045
196	3061	14019
197	3072	13981
198	3081	13937
199	3092	13898
200	3103	13863
201	3113	13824
202	3125	13793
203	3133	13748
204	3147	13726
205	3160	13700
206	3173	13675
207	3186	13649
208	3199	13623
209	3212	13598
210	3226	13579
211	3240	13557
212	3256	13544
213	3271	13527
214	3282	13495
215	3297	13480
216	3308	13445
217	3322	13426
218	3338	13414
219	3348	13377
220	3360	13349
221	3371	13320
222	3386	13302
223	3402	13289
224	3411	13251
225	3424	13229
226	3434	13194
227	3445	13163
228	3456	13133
229	3469	13108
230	3481	13082
231	3494	13058
232	3508	13041
233	3521	13016
234	3528	12973
235	3541	12951
236	3552	12920
237	3565	12900
238	3579	12878
239	3594	12866
240	3606	12838
241	3616	12808
242	3620	12755
243	3638	12749
244	3649	12721
245	3665	12711
246	3678	12689
247	3690	12662
248	3702	12640
249	3717	12623
250	3731	12605
251	3741	12576
252	3754	12553
253	3765	12527
254	3779	12507
255	3793	12490
256	3805	12466
257	3818	12445
258	3832	12430
259	3845	12409
260	3859	12393
261	3864	12344
262	3878	12327
263	3893	12315
264	3905	12289
265	3919	12272
266	3931	12251
267	3945	12233
268	3959	12217
269	3973	12199
270	3985	12178
271	3998	12158
272	4012	12141
273	4025	12119
274	4036	12094
275	4048	12072
276	4061	12053
277	4072	12028
278	4085	12006
279	4094	11975
280	4103	11946
281	4113	11917
282	4122	11886
283	4132	11858
284	4142	11832
285	4153	11807
286	4164	11782
287	4174	11756
288	4184	11729
289	4196	11707
290	4206	11680
291	4218	11657
292	4226	11627
293	4237	11601
294	4247	11575
295	4260	11556
296	4270	11531
297	4279	11501
298	4287	11470
299	4296	11443
300	4302	11405
301	4309	11374
302	4320	11349
303	4332	11330
304	4342	11305
305	4354	11284
306	4365	11261
307	4374	11235
308	4385	11212
309	4395	11186
310	4406	11165
311	4417	11142
312	4428	11121
313	4438	11095
314	4445	11065
315	4457	11044
316	4468	11022
317	4478	10998
318	4487	10972
319	4497	10948
320	4502	10911
321	4512	10887
322	4523	10867
323	4536	10852
324	4546	10828
325	4559	10810
326	4568	10786
327	4578	10761
328	4589	10741
329	4600	10720
330	4610	10697
331	4618	10668
332	4627	10644
333	4637	10622
334	4647	10600
335	4658	10578
336	4667	10553
337	4676	10528
338	4680	10493
339	4690	10469
340	4702	10452
341	4713	10433
342	4724	10413
343	4733	10389
344	4746	10372
345	4750	10339
346	4763	10324
347	4775	10306
348	4784	10282
349	4795	10262
350	4808	10247
351	4823	10235
352	4835	10218
353	4847	10201
354	4859	10183
355	4865	10154
356	4870	10123
357	4878	10098
358	4888	10076
359	4899	10056
360	4904	10026
361	4913	10003
362	4922	9980
363	4933	9962
364	4944	9942
365	4955	9924
366	4966	9905
367	4976	9884
368	4987	9866
369	4997	9845
370	5008	9827
371	5017	9805
372	5025	9782
373	5029	9750
374	5039	9729
375	5050	9711
376	5059	9689
377	5068	9668
378	5078	9648
379	5088	9628
380	5098	9609
381	5109	9590
382	5120	9571
383	5129	9550
384	5140	9533
385	5144	9501
